Mean Returns,Standard Deviation
-1322.3485793826771,84.03765171824935
-1610.1723652570276,148.6706594018949
-1686.3573857034341,162.99393717654286
-1644.1499209745077,49.17400432741842
-1588.438445895293,126.54760699698556
-1535.7218336692622,28.255745496645496
-1541.9476664716283,82.12662111672691
-1531.232282944195,51.425974247215954
-1512.2051102999617,44.49566872704721
-1498.1309556182928,67.45235762178422
-1431.549329657128,105.42379692746503
-1468.6775432743557,101.02863890392155
-1495.5162153780961,71.6828192204628
-1456.8053654358034,111.0857915693597
-1482.1253726668954,64.13486238984684
-1488.0757106421765,84.76744373427772
-1483.63661090006,67.99063252397518
-1478.1235020466931,82.75117441429593
-1500.7910226057754,47.71706659929792
-1470.3628121724093,120.31106170548404
-1447.6724512482701,43.67423885165585
-1483.1296023596249,70.46655417507647
-1485.8679769253808,106.22503960868339
-1475.4584992613945,73.50795809884939
-1430.8468264745543,150.15261689026516
-1463.453170516003,158.25955538691957
-1429.1044001674989,182.01302208488585
-1402.8676508005715,162.98090968315495
-1473.0296339179708,93.13238524426782
-1460.3576656782993,116.849507042192
-1448.9323498376218,96.35597633035182
